model,accuracy,time
Ada_Boost_Classifier,78.11,167
Ada_Boost_Classifier,84.48,168
Ada_Boost_Classifier,84.48,169
Ada_Boost_Classifier,81.5,170
Ada_Boost_Classifier,93.0,171
Ada_Boost_Classifier,78.11,172
Ada_Boost_Classifier,81.49,173
Ada_Boost_Classifier,84.48,174
Ada_Boost_Classifier,84.48,175
Ada_Boost_Classifier,93.0,176
Ada_Boost_Classifier,74.27,177
Ada_Boost_Classifier,84.48,178
Ada_Boost_Classifier,84.48,179
Ada_Boost_Classifier,81.49,180
Ada_Boost_Classifier,81.49,181
Ada_Boost_Classifier,81.49,182
Ada_Boost_Classifier,81.49,183
Ada_Boost_Classifier,93.0,184
Ada_Boost_Classifier,74.27,185
Ada_Boost_Classifier,84.48,186
Ada_Boost_Classifier,81.49,187
Ada_Boost_Classifier,91.49,188
Ada_Boost_Classifier,93.0,189
Ada_Boost_Classifier,69.8,190
Ada_Boost_Classifier,78.11,191
Ada_Boost_Classifier,94.25,192
Ada_Boost_Classifier,81.49,193
Ada_Boost_Classifier,93.0,194
Ada_Boost_Classifier,93.0,195
Ada_Boost_Classifier,93.0,196
Ada_Boost_Classifier,74.27,197
Ada_Boost_Classifier,78.11,198
Ada_Boost_Classifier,84.48,199
Ada_Boost_Classifier,93.0,200
Ada_Boost_Classifier,81.49,201
Ada_Boost_Classifier,93.0,202
Ada_Boost_Classifier,74.27,203
Ada_Boost_Classifier,74.27,204
Ada_Boost_Classifier,81.49,205
Ada_Boost_Classifier,81.49,206
Ada_Boost_Classifier,81.49,207
Ada_Boost_Classifier,84.48,208
Ada_Boost_Classifier,91.49,209
Ada_Boost_Classifier,81.5,210
Ada_Boost_Classifier,81.5,211
Ada_Boost_Classifier,78.11,212
Ada_Boost_Classifier,84.48,213
Ada_Boost_Classifier,81.49,214
Ada_Boost_Classifier,93.0,215
Ada_Boost_Classifier,84.48,216
Ada_Boost_Classifier,81.49,217
Ada_Boost_Classifier,74.27,218
Ada_Boost_Classifier,95.3,219
Ada_Boost_Classifier,91.49,220
Ada_Boost_Classifier,91.48,221
Ada_Boost_Classifier,78.11,222
Ada_Boost_Classifier,81.49,223
Ada_Boost_Classifier,81.49,224
Ada_Boost_Classifier,81.49,225
Ada_Boost_Classifier,95.3,226
Ada_Boost_Classifier,93.0,227
Ada_Boost_Classifier,81.49,228
Ada_Boost_Classifier,81.49,229
Ada_Boost_Classifier,84.48,230
Ada_Boost_Classifier,84.48,231
Ada_Boost_Classifier,74.27,232
Ada_Boost_Classifier,74.27,233
Ada_Boost_Classifier,93.0,234
Ada_Boost_Classifier,91.49,235
Ada_Boost_Classifier,84.48,236
Ada_Boost_Classifier,81.49,237
Ada_Boost_Classifier,81.49,238
Ada_Boost_Classifier,93.0,239
Ada_Boost_Classifier,81.49,240
Ada_Boost_Classifier,81.49,241
Ada_Boost_Classifier,81.5,242
Ada_Boost_Classifier,78.11,243
Ada_Boost_Classifier,81.49,244
Ada_Boost_Classifier,78.11,245
Ada_Boost_Classifier,84.48,246
Ada_Boost_Classifier,78.11,247
Ada_Boost_Classifier,81.49,248
Ada_Boost_Classifier,84.48,249
Ada_Boost_Classifier,81.49,250
Ada_Boost_Classifier,93.0,251
Ada_Boost_Classifier,93.0,252
Ada_Boost_Classifier,81.49,253
Ada_Boost_Classifier,81.49,254
Ada_Boost_Classifier,95.3,255
Ada_Boost_Classifier,81.49,256
Ada_Boost_Classifier,93.0,257
Ada_Boost_Classifier,81.49,258
Ada_Boost_Classifier,74.27,259
